,Make & Model,Price,Depreciation,Reg Date,Mileage,Vechical Type
94,Mercedes-Benz 220S (COE till 10/2030),"$98,800.00","$10,260 /yr",18-Jun-2009,"149,513 km",Sedan
95,Mitsubishi Lancer EX 1.5A GLX (COE till 04/2024),"$30,800.00","$10,090 /yr",12-Jun-2008,"135,000 km",Sedan
96,Honda Civic 1.6A VTi (COE till 05/2023),"$17,000.00","$7,970 /yr",12-Nov-2009,"105,000 km",SUV
97,Hummer H3 3.7A (COE till 10/2029),"$108,800.00","$12,710 /yr",09-Jul-2015,"81,700 km",Hatchback
99,Mercedes-Benz S-Class S350L Sunroof (COE till 05/2027),"$76,775.00","$12,630 /yr",11-May-2007,"195,000 km",Luxury
102,Mazda RX-8 1.3A (COE till 09/2028),"$58,000.00","$7,840 /yr",03-Sep-2008,"120,000 km",Sports
104,Audi A4 2.0A TFSI S-tronic,"$130,000.00","$14,710 /yr",18-Oct-2018,"44,000 km",Luxury
105,Mercedes-Benz CLA-Class CLA200 Shooting Brake AMG Line,"$194,988.00",,N.A.,50 km,Stationwagon
109,Saab 900S (COE till 01/2023),"$28,800.00",,02-May-1998,"197,000 km",Sports
111,Porsche Cayman 2.7A Tip (COE till 11/2028),"$110,800.00","$14,640 /yr",04-Nov-2008,"110,000 km",Sports
114,Volkswagen Scirocco 1.4A TSI Sunroof (COE till 02/2025),"$29,998.00","$7,830 /yr",10-Feb-2010,"159,582 km",Sports
115,Toyota Alphard 2.4A S,"$85,800.00",,22-May-2015,"71,749 km",MPV
117,Toyota Hiace Commuter 3.0A GL,"$47,800.00","$9,590 /yr",07-Apr-2016,"118,100 km",Bus
119,Mercedes-Benz CLA-Class CLA45 AMG 4MATIC,"$145,000.00","$26,120 /yr",29-Jul-2015,"55,000 km",Luxury
120,Honda Civic Type R 2.0M (COE till 11/2027),"$78,000.00","$11,750 /yr",28-Dec-2007,"249,000 km",Sports
121,Porsche Cayman 2.9A PDK (COE till 03/2030),"$158,000.00","$17,730 /yr",10-Mar-2010,"55,000 km",Sports
122,BMW 5 Series 535i (New 10-yr COE),"$97,800.00","$9,770 /yr",11-Apr-2011,"106,266 km",Luxury
123,Audi A4 1.8A TFSI MU,"$47,939.00","$13,770 /yr",31-Jul-2013,"68,000 km",Luxury
124,BMW 5 Series 523i (COE till 01/2031),"$81,800.00","$8,340 /yr",01-Feb-2011,"124,959 km",Luxury
125,BMW 3 Series 320i,"$58,800.00","$14,770 /yr",03-Mar-2014,"110,000 km",Luxury
126,Infiniti Q60 Coupe 2.0T,"$128,888.00","$14,560 /yr",31-Aug-2018,"52,000 km",Sports
127,Mercedes-Benz E-Class E250,"$73,939.00","$18,600 /yr",07-Nov-2013,"129,000 km",Luxury
128,Lamborghini Aventador LP700-4,"$620,000.00","$513,900 /yr",15-Feb-2012,"36,700 km",Sports
129,Kia Stinger 2.0A GT Line Sunroof,"$125,000.00","$15,080 /yr",03-May-2018,"83,000 km",Luxury
130,BMW 5 Series 523i (New 10-yr COE),"$81,800.00","$8,180 /yr",24-Mar-2011,"126,148 km",Luxury
131,Land Rover Range Rover Evoque 2.0A 5DR (New 10-yr COE),"$110,800.00","$11,070 /yr",20-Dec-2011,"117,655 km",SUV
132,Mazda 3 HB 1.5A Deluxe,"$67,800.00","$9,520 /yr",18-Aug-2017,"58,000 km",Hatchback
133,Subaru Forester 2.0XT Sunroof,"$58,393.00","$12,820 /yr",18-Feb-2015,"68,000 km",SUV
134,MINI Cooper S 1.6A (New 10-yr COE),"$73,800.00","$7,380 /yr",18-Aug-2011,"130,000 km",Sports
136,Maserati GranTurismo 4.2A (New 10-yr COE),"$165,888.00","$16,580 /yr",01-Nov-2011,"80,000 km",Sports
137,BMW 5 Series 523i (COE till 01/2031),"$81,800.00","$8,340 /yr",08-Feb-2011,"109,963 km",Luxury
140,Toyota Alphard 2.4A (COE till 10/2030),"$79,800.00","$8,350 /yr",04-Nov-2010,"155,000 km",MPV
141,Audi Q7 3.0A TDI Quattro (COE till 10/2030),"$99,800.00","$10,440 /yr",22-Nov-2010,"139,000 km",SUV
142,Aston Martin V8 Vantage Coupe 4.7A (COE till 09/2030),"$218,800.00","$23,090 /yr",13-Nov-2010,"23,209 km",Sports
143,Kia Cerato K3 1.6A EX (OPC),"$39,800.00","$7,130 /yr",26-Oct-2015,"71,000 km",Sedan
144,Mercedes-Benz CLS-Class CLS350 (New 10-yr COE),"$117,800.00","$11,770 /yr",11-Nov-2011,"83,000 km",Luxury
145,Audi Q3 2.0A TFSI Quattro,"$65,800.00","$14,120 /yr",01-Aug-2014,"54,000 km",SUV
147,Toyota Noah Hybrid 1.8A X,"$134,800.00","$12,350 /yr",05-Apr-2021,10 km,MPV
148,Volkswagen Golf 1.4A TSI,"$41,000.00","$11,970 /yr",30-Jun-2014,"86,700 km",Hatchback
149,Kia Cerato Forte 1.6A SX (COE till 05/2024),"$22,000.00","$7,040 /yr",28-May-2009,"122,000 km",Sedan
150,Mitsubishi Fuso Canter FEA01,"$69,800.00","$8,670 /yr",30-Apr-2019,"21,000 km",Truck
151,Mercedes-Benz E-Class E200 CGI (New 10-yr COE),"$79,800.00","$7,980 /yr",12-Apr-2011,"113,482 km",Luxury
153,BMW 7 Series 730Li Sunroof,"$188,800.00","$23,740 /yr",26-Jan-2017,"74,875 km",Luxury
155,BMW X1 sDrive18i (COE till 01/2031),"$71,800.00","$7,320 /yr",24-Feb-2011,"128,795 km",SUV
156,BMW 6 Series 640i Cabriolet (COE till 01/2031),"$121,800.00","$12,410 /yr",11-Nov-2011,"103,000 km",Sports
157,Land Rover Discovery 4 Diesel 3.0A Sunroof (COE till 10/2030),"$125,800.00","$13,160 /yr",16-Jun-2011,"137,117 km",SUV
158,Toyota Corolla Altis 1.6A (New 5-yr COE),"$35,800.00","$7,160 /yr",13-Jun-2011,"89,000 km",Sedan
160,Toyota Raize 1.0A XS,"$86,800.00","$8,510 /yr",09-Mar-2021,8 km,SUV
161,Audi S5 Sportback 3.0A TFSI Quattro (New 10-yr COE),"$115,800.00","$11,570 /yr",06-Apr-2011,"114,718 km",Sports
162,Mercedes-Benz C-Class C180 Avantgarde,"$100,393.00","$15,960 /yr",03-Jun-2016,"112,000 km",Luxury
163,BMW 5 Series 520i,"$146,800.00","$17,280 /yr",26-Jan-2018,"73,666 km",Luxury
164,Audi A3 Sedan 1.0A TFSI S-tronic,"$83,939.00","$11,950 /yr",15-Aug-2017,"99,000 km",Luxury
165,Hyundai Elantra 1.6A GLS Elite,"$50,000.00","$8,160 /yr",11-May-2016,"110,000 km",Sedan
166,Subaru Forester 2.0i-L Sunroof,"$66,939.00","$10,000 /yr",28-Mar-2017,"86,000 km",SUV
167,Mercedes-Benz C-Class C200 Mild Hybrid SE,"$162,888.00","$15,260 /yr",10-Mar-2020,"21,000 km",Luxury
168,Mercedes-Benz E-Class E250 CGI (New 10-yr COE),"$91,800.00","$9,170 /yr",13-Jun-2011,"105,000 km",Luxury
169,Mercedes-Benz C-Class C180K (New 10-yr COE),"$75,500.00","$7,550 /yr",05-Sep-2011,"118,000 km",Luxury
170,Bentley Continental GT 6.0A Speed (New 10-yr COE),"$220,800.00","$22,070 /yr",20-Oct-2011,"122,824 km",Sports
171,Mercedes-Benz E-Class E200 CGI (New 10-yr COE),"$83,800.00","$8,380 /yr",13-Apr-2011,"100,200 km",Luxury
172,Honda Civic 1.6A VTi,"$76,500.00","$10,050 /yr",29-Nov-2017,"48,000 km",Sedan
173,Mercedes-Benz C-Class C180 AMG Line,"$80,800.00","$16,960 /yr",23-Jan-2015,"52,000 km",Luxury
175,Honda Shuttle 1.5A G,"$56,800.00","$9,370 /yr",15-Nov-2016,"75,000 km",Stationwagon
177,Hyundai Avante 1.6A (COE till 11/2028),"$36,800.00","$4,850 /yr",14-Nov-2008,"155,800 km",Sedan
178,Jaguar XF 2.0A Luxury,"$108,800.00","$14,530 /yr",24-Mar-2016,"31,000 km",Luxury
179,Mercedes-Benz A-Class A180 Progressive,"$120,800.00","$12,880 /yr",23-Apr-2019,"7,900 km",Hatchback
180,Suzuki Swift 1.5A (COE till 11/2027),"$40,888.00","$6,200 /yr",15-Nov-2007,"118,000 km",Hatchback
181,Porsche 718 Cayman 2.0A PDK,"$250,000.00","$31,780 /yr",19-Jul-2017,"21,000 km",Sports
182,Mazda 6 2.0A Executive,"$78,800.00","$10,140 /yr",13-Nov-2017,"61,000 km",Luxury
183,Kia Cerato Forte Koup 1.6A SX Sunroof (New 10-yr COE),"$72,833.00","$7,280 /yr",26-Aug-2011,"155,000 km",Sports
184,Toyota Camry 2.5A,"$139,800.00","$12,360 /yr",29-Dec-2020,"3,700 km",Luxury
185,Audi A3 Sedan 1.0A TFSI S-tronic,"$73,800.00","$11,070 /yr",25-Feb-2017,"59,000 km",Luxury
189,Toyota Wish 1.8A,"$73,850.00","$11,480 /yr",04-Nov-2016,"29,000 km",MPV
190,Toyota Wish 1.8A,"$70,800.00","$10,330 /yr",03-Mar-2017,"50,000 km",MPV
196,Toyota Corolla Altis 1.6A Elegance,"$22,588.00","$12,820 /yr",15-Jun-2012,"135,000 km",Sedan
197,Volkswagen Scirocco 1.4A TSI Sunroof (New 10-yr COE),"$76,888.00","$7,680 /yr",03-May-2011,"117,000 km",Sports
198,Mazda 2 1.5A Standard Plus,"$62,888.00","$8,460 /yr",30-May-2018,"20,000 km",Sedan
199,Mitsubishi Attrage 1.2A Sports,"$42,888.00","$7,710 /yr",07-Jul-2016,"60,000 km",Sedan
203,Honda Vezel Hybrid 1.5A X,"$86,888.00","$11,080 /yr",31-May-2018,"33,080 km",SUV
208,Nissan Qashqai 1.2A DIG-T,"$77,850.00","$10,470 /yr",26-Dec-2017,"69,000 km",SUV
210,Subaru Forester 2.0i-L Sunroof,"$69,800.00","$10,750 /yr",17-Jan-2017,"67,888 km",SUV
212,Toyota Camry 2.0A,"$20,888.00",,15-Sep-2011,"125,000 km",Luxury
215,BMW 3 Series 318i,"$81,800.00","$13,160 /yr",27-May-2016,"60,500 km",Luxury
216,Honda HR-V 1.5A DX,"$79,800.00","$8,820 /yr",11-Mar-2019,"65,000 km",SUV
217,Mitsubishi Fuso Canter FEB21,"$33,998.00","$13,460 /yr",22-Oct-2013,"192,850 km",Truck
218,Audi A5 Sportback Mild Hybrid 2.0A TFSI S-tronic,"$164,999.00","$14,890 /yr",30-Nov-2020,"4,000 km",Luxury
222,Lexus ES250 Luxury Sunroof,"$98,800.00","$16,000 /yr",30-Nov-2015,"85,000 km",Luxury
226,Hyundai Elantra 1.6A GLS S,"$67,800.00","$8,360 /yr",24-Aug-2018,"66,000 km",Sedan
228,Toyota Corolla Altis 1.6A (New 10-yr COE),"$58,800.00","$5,880 /yr",30-Mar-2011,"92,000 km",Sedan
229,Volkswagen Scirocco 1.4A TSI (New 10-yr COE),"$76,888.00","$7,680 /yr",25-Apr-2011,"134,000 km",Sports
232,BMW 2 Series 216d Gran Tourer Luxury,"$83,888.00","$15,250 /yr",15-Dec-2015,"120,000 km",MPV
233,Mercedes-Benz CLA-Class CLA180,"$77,888.00","$18,970 /yr",07-Nov-2014,"113,888 km",Luxury
234,Kia Carens Diesel 1.7A,"$90,800.00","$12,680 /yr",08-Nov-2017,"65,000 km",MPV
235,Toyota Sienta Hybrid 1.5A G,"$71,800.00","$10,530 /yr",09-Nov-2017,"33,000 km",MPV
236,Suzuki Swift Hybrid 1.2A RS,"$86,800.00","$9,230 /yr",02-Mar-2020,"17,000 km",Hatchback
237,Volkswagen Scirocco 1.4A TSI Sunroof (New 5-yr COE),"$42,800.00","$8,560 /yr",10-Mar-2011,"96,000 km",Sports
238,Kia Sorento Diesel 2.2A CRDi,"$81,800.00","$12,140 /yr",26-Aug-2016,"59,666 km",SUV
239,Hyundai Sonata 2.0A GLS,"$59,800.00","$10,120 /yr",31-Mar-2016,"72,000 km",Luxury
243,Hyundai Sonata 2.0A GLS,"$59,800.00","$9,760 /yr",02-Jun-2016,"99,000 km",Luxury
244,Toyota Harrier 2.0A Premium Panoramic,"$78,800.00","$13,070 /yr",30-Mar-2016,"76,000 km",SUV
246,Kia Cerato 1.6A EX,"$74,800.00","$8,420 /yr",08-May-2019,"51,000 km",Sedan
248,Volkswagen Golf 1.4A TSI (COE till 01/2026),"$38,800.00","$8,140 /yr",17-Jan-2011,"88,000 km",Hatchback
