,Make & Model,Price,Depreciation,Reg Date,Mileage,Vechical Type
6202,Subaru Impreza 5D 1.6i-S,"$63,000.00","$9,310 /yr",27-Apr-2017,"47,337 km",Hatchback
6203,BMW 3 Series 316i Sport,"$56,800.00","$13,420 /yr",29-Apr-2014,"150,000 km",Luxury
6205,Toyota Wish 1.8A,"$68,900.00","$10,550 /yr",11-Nov-2016,"71,000 km",MPV
6206,Honda Odyssey 2.4A EXV-S Sunroof,"$63,800.00","$13,740 /yr",12-Sep-2014,"85,400 km",MPV
6209,Mercedes-Benz C-Class C200 Coupe AMG Line,"$161,800.00","$17,870 /yr",24-Sep-2018,"62,362 km",Sports
6210,Toyota Harrier 2.0A Premium Panoramic,"$92,800.00","$13,050 /yr",25-Jan-2017,"61,298 km",SUV
6211,Volkswagen Golf 1.4A TSI (New 10-yr COE),"$61,000.00","$6,100 /yr",11-Jul-2011,"108,000 km",Hatchback
6215,Toyota Hiace 3.0M,"$61,800.00","$9,920 /yr",05-Jul-2017,"56,408 km",Van
6216,Nissan NV200 1.5M,"$68,800.00","$7,860 /yr",09-Jan-2020,"15,000 km",Van
6220,Toyota Corolla Altis 1.6A Standard,"$76,999.00","$9,110 /yr",23-Aug-2018,"41,588 km",Sedan
6221,Mitsubishi Fuso Fighter FK61 (COE till 02/2031),"$79,800.00","$8,070 /yr",14-Mar-2011,"133,250 km",Truck
6222,Mazda 6 2.0A,"$62,300.00","$10,270 /yr",16-May-2016,"58,183 km",Luxury
6223,Audi A5 Sportback Mild Hybrid 2.0A TFSI S-tronic,"$171,800.00","$15,950 /yr",11-Sep-2020,"10,300 km",Luxury
6224,BMW M Series Z4 Roadster M40i,"$275,800.00","$25,170 /yr",15-Jun-2020,"2,955 km",Sports
6227,Audi S4 Avant 3.0A TFSI Quattro S-tronic (New 10-yr COE),"$132,888.00","$13,280 /yr",23-Jul-2011,"92,943 km",Stationwagon
6232,Porsche Cayenne 3.6A Tip (COE till 07/2028),"$109,800.00","$15,120 /yr",15-Jul-2008,"62,000 km",SUV
6235,BMW 2 Series 216i Gran Tourer,"$91,800.00","$12,060 /yr",08-Aug-2017,"63,522 km",MPV
6238,Mitsubishi Outlander 2.4A,"$77,800.00","$11,030 /yr",25-May-2017,"76,000 km",SUV
6240,Kia Sorento Diesel 2.2A CRDi Sunroof,"$91,988.00","$12,110 /yr",28-Feb-2017,"45,021 km",SUV
6241,Audi A6 1.8A TFSI Ultra S-tronic S-Line,"$132,800.00","$14,570 /yr",21-Jul-2018,"44,080 km",Luxury
6244,Mercedes-Benz E-Class E300 Coupe AMG Line,"$213,000.00","$24,070 /yr",29-Jun-2018,"34,000 km",Sports
6248,Toyota Harrier 2.0A Elegance Panoramic,"$89,800.00","$12,930 /yr",24-Jan-2017,"70,990 km",SUV
6249,Mazda 3 1.5A Sunroof,"$64,800.00","$8,490 /yr",11-Jan-2018,"33,617 km",Sedan
6254,Subaru Forester 2.0i-L Sunroof,"$77,800.00","$11,360 /yr",27-Jun-2017,"41,663 km",SUV
6257,Mitsubishi Fuso Canter FEB21,"$54,800.00","$11,000 /yr",05-Apr-2016,"98,008 km",Truck
6258,Hyundai i30 1.4A T-GDi DCT Turbo,"$78,800.00","$9,420 /yr",01-Sep-2018,"44,000 km",Hatchback
6267,BMW 1 Series 118i 5DR Sport,"$29,500.00","$24,950 /yr",28-Oct-2011,"123,000 km",Hatchback
6270,Mercedes-Benz C-Class C180K (New 10-yr COE),"$72,800.00","$7,280 /yr",29-Aug-2011,"153,000 km",Luxury
6271,Honda Vezel 1.5A X,"$60,888.00","$9,640 /yr",29-Nov-2016,"32,744 km",SUV
6272,Audi Q3 1.4A TFSI S-Tronic,"$88,800.00","$13,750 /yr",11-Aug-2016,"35,545 km",SUV
6277,BMW 3 Series 318i Sport,"$102,300.00","$13,150 /yr",28-Sep-2017,"66,462 km",Luxury
6280,Volvo V60 Cross Country T5,"$91,988.00","$12,660 /yr",16-Feb-2017,"85,680 km",Stationwagon
6281,Mercedes-Benz E-Class E300 Coupe AMG Line,"$213,000.00","$24,130 /yr",25-Jun-2018,"48,000 km",Sports
6283,Jaguar XJ 5.0A Supersport SC LWB,"$99,900.00","$37,080 /yr",18-May-2012,"106,900 km",Luxury
6284,Toyota Estima 2.4A Aeras Premium Moonroof,"$79,800.00","$13,640 /yr",20-Nov-2015,"60,000 km",MPV
6290,Lexus ES250 Sunroof,"$99,800.00","$14,820 /yr",29-Jul-2016,"76,000 km",Luxury
6291,Peugeot 208 1.2A PureTech Active,"$48,800.00","$8,150 /yr",16-Dec-2016,"58,000 km",Hatchback
6293,Lexus NX Turbo NX200t Luxury Sunroof,"$110,800.00","$15,970 /yr",28-May-2016,"56,000 km",SUV
6297,Kia Cerato K3 1.6A SX,"$60,988.00","$8,630 /yr",02-May-2017,"77,000 km",Sedan
6298,Toyota Corolla Altis 1.6A Elegance,"$33,800.00","$12,970 /yr",22-Apr-2013,"102,312 km",Sedan
6299,Toyota Noah Hybrid 1.8A X,"$117,300.00","$12,640 /yr",20-Jun-2019,"21,777 km",MPV
6300,Toyota Dyna 150 3.0M,"$74,800.00","$9,420 /yr",20-Mar-2019,"32,120 km",Truck
6301,Honda Civic 1.8A (COE till 01/2029),"$52,500.00","$6,740 /yr",22-Jan-2009,"159,000 km",Sedan
6303,Mercedes-Benz E-Class E250 CGI (COE till 09/2030),"$95,800.00","$10,110 /yr",07-Oct-2010,"150,000 km",Luxury
6306,Toyota Wish 1.8A Elegance (COE till 03/2031),"$69,800.00","$7,020 /yr",22-Mar-2011,"127,000 km",MPV
6308,Hyundai Elantra 1.6A GLS S,"$58,800.00","$8,190 /yr",07-Sep-2017,"115,000 km",Sedan
6311,Toyota Harrier 2.0A Elegance,"$94,800.00","$12,760 /yr",29-Aug-2017,"44,400 km",SUV
6314,Nissan X-Trail 2.0A 7-Seater Sunroof,"$62,500.00","$11,890 /yr",31-Jul-2015,"91,481 km",SUV
6315,Mercedes-Benz C-Class C180 Avantgarde,"$108,800.00","$15,750 /yr",05-Jan-2017,"89,956 km",Luxury
6317,Nissan NV200 1.6A DX,"$42,800.00","$7,180 /yr",30-Mar-2017,"50,288 km",Van
6318,Toyota C-HR 1.2A Turbo Active,"$83,900.00","$9,690 /yr",29-Jun-2018,"26,707 km",SUV
6321,Toyota Corolla Axio 1.5A X,"$50,900.00","$8,740 /yr",28-Sep-2016,"55,220 km",Sedan
6323,BMW 7 Series 730i M-Sport Sunroof,"$180,808.00","$23,580 /yr",12-Oct-2016,"52,000 km",Luxury
6325,Mercedes-Benz E-Class E200 Exclusive,"$196,288.00","$19,910 /yr",28-Mar-2019,"11,850 km",Luxury
6327,Mitsubishi Evolution 9 MR GSR (COE till 03/2027),"$198,000.00","$33,230 /yr",28-Mar-2007,"210,000 km",Sports
6329,Porsche Macan S 3.0A PDK,"$167,800.00","$35,720 /yr",08-Jul-2014,"80,000 km",SUV
6330,Honda HR-V 1.5A DX,"$88,800.00","$9,020 /yr",27-Dec-2019,"27,000 km",SUV
6331,Subaru Forester 2.0XT Sunroof,"$77,800.00","$11,660 /yr",14-Feb-2017,"98,552 km",SUV
6333,Jaguar XF 3.0A Premium Luxury (COE till 10/2028),"$55,800.00","$7,430 /yr",14-Oct-2008,"102,000 km",Luxury
6334,Nissan NV200 1.5M (New 5-yr COE),"$32,800.00","$6,560 /yr",11-May-2011,"135,000 km",Van
6335,Subaru Impreza 5D 1.6i-S,"$62,800.00","$9,290 /yr",27-Apr-2017,"55,787 km",Hatchback
6336,Nissan Qashqai 1.2A DIG-T Premium,"$55,800.00","$9,390 /yr",29-Jun-2016,"128,555 km",SUV
6339,Hyundai Accent 1.4A (OPC),"$46,500.00","$5,900 /yr",14-Jun-2018,"22,980 km",Sedan
6341,Audi A4 1.4A TFSI S-tronic,"$99,800.00","$13,740 /yr",25-Jul-2017,"44,000 km",Luxury
6342,Suzuki Grand Vitara 2.0A (COE till 05/2024),"$38,000.00","$12,110 /yr",07-Jul-2009,"104,600 km",SUV
6344,Subaru Forester 2.0i-S EyeSight Sunroof,"$108,000.00","$11,800 /yr",02-Sep-2019,"25,000 km",SUV
6347,Mercedes-Benz S-Class S350L (COE till 04/2026),"$58,500.00","$11,620 /yr",25-Apr-2006,"189,000 km",Luxury
6348,Suzuki Swift 1.5A (COE till 03/2022),"$8,200.00","$8,480 /yr",03-Apr-2007,"200,000 km",Hatchback
6350,Toyota GR Supra 3.0A RZ,"$265,000.00","$26,690 /yr",09-Oct-2019,"3,000 km",Sports
6351,Nissan Qashqai 1.2A DIG-T,"$55,800.00","$9,670 /yr",29-Apr-2016,"125,000 km",SUV
6354,Toyota Picnic 2.0A (COE till 02/2024),"$24,000.00","$8,320 /yr",05-Mar-2009,"240,000 km",MPV
6355,Nissan X-Trail 2.0A 7-Seater Sunroof,"$74,500.00","$11,400 /yr",27-Sep-2016,"104,000 km",SUV
6356,Kia Soul 1.6A (New 5-yr COE),"$46,400.00","$9,270 /yr",15-Feb-2011,"98,000 km",Hatchback
6357,Honda Civic SIR EK4 (COE till 11/2027),"$44,800.00","$6,750 /yr",28-May-1998,"200,000 km",Sports
6359,Porsche Cayenne S Coupe 2.9A,"$418,800.00","$34,580 /yr",17-Jul-2020,"3,500 km",SUV
6360,Toyota Dyna 150 3.0M,"$61,800.00","$10,860 /yr",21-Dec-2016,"88,888 km",Truck
6361,BMW M Series M6 Coupe,"$218,000.00","$39,520 /yr",23-Jul-2014,"70,000 km",Sports
6364,Volvo S90 T5 Momentum,"$169,000.00","$15,480 /yr",14-Sep-2020,"11,000 km",Luxury
6365,Toyota GR Supra 3.0A,"$240,000.00","$23,470 /yr",15-Nov-2019,"17,000 km",Sports
6366,BMW M Series M3 Convertible (New 10-yr COE),"$138,000.00","$13,790 /yr",23-Aug-2011,"75,610 km",Sports
6367,Mercedes-Benz A-Class A200 AMG Line Premium Plus,"$139,800.00","$13,540 /yr",30-Dec-2019,"15,000 km",Hatchback
6368,BMW 5 Series 523i (COE till 08/2030),"$73,338.00","$7,810 /yr",24-Nov-2010,"124,781 km",Luxury
6369,Toyota Corolla Axio 1.5A X (COE till 03/2024),"$20,800.00","$7,190 /yr",04-Mar-2009,"161,400 km",Sedan
6370,Toyota Alphard 2.5A S Moonroof,"$203,000.00","$22,170 /yr",06-May-2019,"13,500 km",MPV
6371,Mercedes-Benz A-Class Saloon A200 AMG Line Premium Plus,"$141,000.00","$14,070 /yr",24-Oct-2019,"13,700 km",Luxury
6372,Honda Jazz 1.5A L Skyroof (COE till 10/2025),"$34,800.00","$7,700 /yr",18-Oct-2010,"134,800 km",Hatchback
6373,Mercedes-Benz S-Class S300L (COE till 10/2029),"$96,800.00","$11,310 /yr",07-Jan-2010,"118,544 km",Luxury
6374,Mercedes-Benz S-Class S500L AMG,"$249,800.00","$31,680 /yr",13-Nov-2015,"71,988 km",Luxury
6375,BMW 5 Series 535i Gran Turismo Luxury,"$127,888.00","$20,060 /yr",20-Mar-2015,"96,000 km",Luxury
6376,Mercedes-Benz GLC-Class GLC43 Coupe AMG 4MATIC,"$235,800.00","$25,060 /yr",01-Nov-2018,"30,000 km",SUV
6378,Audi A3 Sedan 1.4A TFSI S-tronic Ambiente,"$52,000.00","$14,660 /yr",28-Feb-2014,"65,000 km",Luxury
6379,Toyota Vellfire 3.5A Z G-Edition,"$86,800.00","$16,640 /yr",28-Oct-2014,"87,000 km",MPV
6383,Volkswagen Jetta Sport 1.4A TSI (COE till 09/2025),"$34,000.00","$7,600 /yr",08-Oct-2010,"113,000 km",Sedan
6388,Ferrari F430 F1 (COE till 01/2028),"$268,000.00","$39,360 /yr",01-Feb-2008,"80,245 km",Sports
6389,BMW X1 sDrive18i Sunroof (COE till 04/2026),"$46,800.00","$9,400 /yr",04-Apr-2011,"141,888 km",SUV
6390,Ford S-Max 2.0A Ecoboost Titanium (New 10-yr COE),"$75,000.00","$7,500 /yr",30-Sep-2011,"115,000 km",MPV
6393,Honda City 1.5A (COE till 05/2026),"$35,800.00","$6,970 /yr",02-Jun-2006,"120,000 km",Sedan
6395,Honda Stream 1.8A Sunroof (COE till 03/2030),"$53,800.00","$6,030 /yr",12-Mar-2010,"160,500 km",MPV
6396,Ferrari 348 TS (COE till 05/2028),"$238,000.00","$33,330 /yr",18-Oct-1990,"46,813 km",Sports
6397,Mercedes-Benz C-Class C200 Cabriolet AMG Line Premium,"$224,888.00",,N.A.,100 km,Sports
6398,Honda Freed Hybrid 1.5A G Honda Sensing,"$109,888.00","$12,380 /yr",09-May-2019,"14,877 km",MPV
6401,Kia Cerato K3 1.6A SX Sunroof,"$64,888.00","$8,720 /yr",27-Oct-2017,"54,000 km",Sedan
6402,Subaru Forester e-Boxer Mild Hybrid,"$124,800.00","$12,620 /yr",04-Feb-2019,"31,500 km",SUV
6403,Nissan NV200 1.5M,"$45,800.00","$8,590 /yr",10-Aug-2016,"62,300 km",Van
6404,Mitsubishi Fuso Canter FEB21,"$63,800.00","$10,630 /yr",13-Apr-2017,"59,500 km",Truck
6406,Honda Airwave 1.5A (COE till 04/2022),"$7,200.00","$7,280 /yr",09-Apr-2007,"199,000 km",Stationwagon
6408,Mitsubishi Lancer EX 1.6A,"$59,800.00","$8,590 /yr",11-Aug-2017,"43,000 km",Sedan
6409,Audi A3 Sedan 1.4A TFSI Ambiente,"$61,800.00","$13,230 /yr",19-May-2015,"110,000 km",Luxury
6411,BMW 2 Series 216d Active Tourer Luxury,"$75,888.00","$11,240 /yr",17-Feb-2017,"62,886 km",Hatchback
6412,Subaru Forester 2.0XT Sunroof,"$73,800.00","$11,970 /yr",10-Aug-2016,"80,000 km",SUV
6414,Honda Fit 1.3A G (COE till 10/2029),"$55,888.00","$6,540 /yr",27-Oct-2009,"159,000 km",Hatchback
6416,Honda Vezel 1.5A X,"$88,800.00","$9,240 /yr",12-Feb-2020,"14,000 km",SUV
6417,Mazda 6 2.0A Executive,"$74,800.00","$10,580 /yr",28-Feb-2017,"94,000 km",Luxury
6418,Nissan NV200 1.5M,"$35,988.00","$9,930 /yr",26-Nov-2014,"109,972 km",Van
6419,Kia Cerato Forte 1.6A EX (New 5-yr COE),"$34,888.00","$6,970 /yr",14-Jul-2011,"128,321 km",Sedan
6420,BMW 1 Series 118i 5DR M-Sport,"$102,800.00","$10,840 /yr",25-Apr-2019,"28,157 km",Hatchback
6423,Toyota Wish 1.8A Elegance,"$68,800.00","$10,990 /yr",19-Aug-2016,"97,000 km",MPV
6424,Nissan Note 1.2A,"$63,800.00","$8,330 /yr",21-Aug-2018,"31,000 km",Hatchback
6426,Mercedes-Benz SL-Class SL280 (COE till 02/2029),"$88,888.00","$11,270 /yr",19-Feb-2001,"152,000 km",Sports
6428,Audi A1 1.4A TFSI S-tronic (New 10-yr COE),"$68,500.00","$6,850 /yr",11-Apr-2011,"91,000 km",Hatchback
6432,Citroen Grand C4 Picasso Diesel 1.6A BlueHDi Panoramic,"$73,800.00","$10,330 /yr",25-Sep-2017,"34,000 km",MPV
6433,Toyota Corolla Altis 1.6A (COE till 11/2024),"$25,800.00","$7,160 /yr",19-Nov-2009,"180,000 km",Sedan
6434,Volkswagen Golf Sport 1.4A TSI (COE till 10/2030),"$85,000.00","$8,890 /yr",07-Jan-2011,"176,000 km",Hatchback
6436,Opel Astra 1.0A Turbo,"$59,800.00","$8,640 /yr",29-Nov-2017,"54,000 km",Hatchback
6437,Mercedes-Benz C-Class C180 Avantgarde,"$105,800.00","$16,060 /yr",19-Sep-2016,"84,000 km",Luxury
6439,Hyundai Veloster 1.6A GDi Turbo,"$77,800.00","$13,480 /yr",20-Apr-2016,"75,000 km",Hatchback
6442,Kia Cerato K3 1.6A,"$59,800.00","$8,200 /yr",08-Nov-2017,"41,400 km",Sedan
6443,Kia Soul 1.6A (New 5-yr COE),"$34,800.00","$6,960 /yr",25-Mar-2011,"99,000 km",Hatchback
6444,Audi A1 Sportback 1.0A TFSI S-tronic,"$53,888.00","$11,550 /yr",28-Jul-2015,"27,400 km",Hatchback
6445,Maserati GranTurismo 4.2A,"$119,500.00","$53,440 /yr",30-Jul-2012,"51,000 km",Sports
6446,Honda Freed 1.5A G (COE till 11/2023),"$22,800.00","$8,810 /yr",14-Nov-2008,"135,000 km",MPV
6448,Porsche Boxster 2.7A PDK (New 10-yr COE),"$194,000.00","$19,390 /yr",12-Jul-2013,"88,000 km",Sports
6449,Toyota Wish 1.8A (COE till 07/2026),"$38,800.00","$7,320 /yr",07-Aug-2006,"295,509 km",MPV
6450,Kia Cerato 1.6A EX,"$72,800.00","$8,190 /yr",17-Apr-2019,"36,000 km",Sedan
6453,Honda Vezel 1.5A X,"$88,800.00","$9,870 /yr",25-Jul-2019,"19,000 km",SUV
6454,Land Rover Freelander 2 Si4 HSE,"$81,800.00","$15,110 /yr",20-Nov-2014,"69,038 km",SUV
6456,Volkswagen Golf GTI 5DR Sunroof (COE till 12/2030),"$80,800.00","$8,310 /yr",01-Jun-2011,"109,000 km",Sports
6457,Lexus RX350 Luxury Sunroof,"$165,800.00","$21,400 /yr",01-Sep-2016,"80,000 km",SUV
6458,Audi TT Coupe 2.0A TFSI Quattro (COE till 09/2030),"$85,000.00","$8,970 /yr",29-Oct-2010,"135,000 km",Sports
6459,Suzuki Swift Sport 1.6A (COE till 01/2023),"$12,800.00","$7,110 /yr",30-Jan-2008,"146,565 km",Hatchback
6460,Toyota Mark X (COE till 08/2027),"$40,800.00","$6,390 /yr",17-Sep-2007,"206,900 km",Luxury
6461,Porsche Panamera 3.6A PDK (COE till 01/2031),"$149,800.00","$15,320 /yr",21-Jan-2011,"140,000 km",Sports
6462,Mitsubishi Fuso Canter FEB21,"$52,800.00","$11,020 /yr",26-Jan-2016,"98,000 km",Truck
6463,Nissan X-Trail 2.0A Premium 7-Seater Sunroof,"$76,800.00","$11,350 /yr",19-Dec-2016,"120,850 km",SUV
6464,Lexus UX200 Executive,"$152,000.00","$13,670 /yr",20-Nov-2020,250 km,SUV
6465,BMW M Series M3 Convertible (COE till 11/2028),"$99,800.00","$13,060 /yr",11-Nov-2011,"150,000 km",Sports
6466,Toyota Hiace 3.0M,"$57,800.00","$9,850 /yr",22-Feb-2017,"72,300 km",Van
6468,Toyota Corolla Altis 1.6A Elegance (COE till 12/2030),"$58,777.00","$6,040 /yr",11-Jan-2011,"100,234 km",Sedan
6470,BMW 5 Series 525i XL (COE till 01/2023),"$21,800.00","$12,510 /yr",09-Jan-2008,"93,850 km",Luxury
6471,Lexus RX Turbo RX200t Luxury Sunroof,"$157,800.00","$19,330 /yr",19-Jul-2017,"21,000 km",SUV
6472,Nissan Cabstar,"$52,800.00","$6,690 /yr",01-Mar-2019,"29,800 km",Truck
6474,Toyota Corolla Altis 1.6A (COE till 05/2026),"$30,000.00","$5,840 /yr",31-May-2006,"187,000 km",Sedan
6475,Honda Odyssey 2.4A EXV-S Sunroof,"$65,800.00","$13,990 /yr",03-Nov-2014,"41,700 km",MPV
6476,BMW 5 Series 535i Sunroof (New 10-yr COE),"$102,800.00","$10,270 /yr",12-Apr-2011,"85,000 km",Luxury
6478,Rolls-Royce Ghost,"$435,000.00",,23-Jul-2011,"65,000 km",Luxury
6479,Audi Q5 2.0A TFSI Quattro S-tronic Sport S-Line,"$180,800.00","$18,230 /yr",27-Sep-2019,"21,000 km",SUV
6480,Lexus RX Turbo RX200t Luxury Sunroof,"$157,800.00","$18,060 /yr",28-Dec-2017,"63,000 km",SUV
6482,Toyota Wish 1.8A Elegance,"$66,800.00","$10,390 /yr",30-Sep-2016,"60,000 km",MPV
6483,Toyota Hiace 3.0A DX,"$39,888.00","$11,510 /yr",29-Sep-2014,"117,500 km",Van
6484,Opel Combo 1.6A,"$48,800.00","$6,900 /yr",08-May-2018,"45,500 km",Van
6485,Mercedes-Benz C-Class C200 Edition C,"$72,800.00","$16,820 /yr",19-Dec-2013,"116,000 km",Luxury
6487,Mercedes-Benz A-Class A200 Progressive,"$135,800.00","$13,920 /yr",03-Sep-2019,"9,466 km",Hatchback
6488,Honda Freed Hybrid 1.5A G,"$99,800.00","$10,820 /yr",05-Aug-2019,"24,000 km",MPV
6489,Mitsubishi Attrage 1.2A (OPC),"$39,800.00","$5,940 /yr",24-Jul-2017,"69,400 km",Sedan
6492,BMW X1 sDrive20i,"$104,800.00","$14,880 /yr",03-Jan-2017,"71,849 km",SUV
6494,Mercedes-Benz E-Class E250 CGI Elegance (New 10-yr COE),"$88,800.00","$8,880 /yr",02-Sep-2011,"140,697 km",Luxury
6495,Mercedes-Benz C-Class C180K Avantgarde (New 10-yr COE),"$75,200.00","$7,520 /yr",01-Jul-2011,"108,000 km",Luxury
6496,Hyundai Avante 1.6A GLS S,"$75,888.00","$8,280 /yr",24-Jul-2019,"27,800 km",Sedan
6497,Subaru Impreza 5D 1.6i-S,"$68,800.00","$9,410 /yr",13-Nov-2017,"65,000 km",Hatchback
6498,Nissan X-Trail 2.0A Premium 7-Seater Sunroof,"$67,888.00","$11,780 /yr",03-Feb-2016,"88,000 km",SUV
6499,Kia Cerato K3 1.6A SX Sunroof (OPC),"$53,800.00","$6,920 /yr",30-Nov-2017,"29,900 km",Sedan
6501,Toyota Prius C Hybrid 1.5A,"$80,088.00","$9,970 /yr",28-Jun-2018,"37,000 km",Hatchback
6502,Mercedes-Benz A-Class A200 AMG Line,"$138,888.00","$13,590 /yr",10-Feb-2020,"17,000 km",Hatchback
6505,Hyundai Elantra 1.6A GLS Elite,"$73,800.00","$8,740 /yr",20-Nov-2018,"30,000 km",Sedan
6506,BMW 6 Series 640i Coupe Sunroof (New 10-yr COE),"$119,800.00","$11,970 /yr",30-Dec-2011,"108,000 km",Sports
6509,Mazda 3 1.5A Deluxe,"$60,688.00","$9,270 /yr",29-Dec-2016,"75,800 km",Sedan
6510,Mitsubishi Outlander 2.0A,"$90,888.00","$11,620 /yr",04-Apr-2018,"76,500 km",SUV
6511,Subaru XV 1.6i-S,"$54,500.00","$9,100 /yr",27-May-2016,"99,000 km",SUV
6512,Toyota Corolla Axio 1.5A X,"$54,200.00","$8,630 /yr",01-Mar-2017,"60,000 km",Sedan
6513,Nissan Almera 1.5A,"$56,888.00","$8,630 /yr",29-Dec-2016,"51,000 km",Sedan
6514,Volkswagen Golf 1.2A TSI (COE till 09/2025),"$41,900.00","$9,370 /yr",26-Nov-2010,"126,205 km",Hatchback
6515,Toyota Corolla Altis 1.6A Elegance,"$96,888.00","$9,640 /yr",26-Feb-2020,"20,500 km",Sedan
6516,Mercedes-Benz C-Class C180 Avantgarde,"$145,880.00","$15,650 /yr",12-Apr-2019,"30,500 km",Luxury
6517,Honda Accord Euro S 2.4A (COE till 11/2030),"$65,200.00","$6,800 /yr",10-Nov-2010,"90,000 km",Luxury
6518,Citroen DS3 1.6M VTI (New 10-yr COE),"$60,800.00","$6,080 /yr",10-Oct-2011,"175,000 km",Hatchback
6519,Lamborghini Aventador S LP740-4,"$1,088,000.00","$112,230 /yr",16-Jan-2018,"10,027 km",Sports
6520,Mercedes-Benz C-Class C180 Avantgarde,"$129,800.00","$15,440 /yr",02-Apr-2018,"47,000 km",Luxury
6521,BMW 4 Series 420i Coupe Sport,"$153,800.00","$16,830 /yr",28-Sep-2018,"48,500 km",Sports
6522,Suzuki Jimny Sierra 1.5A JC,"$106,800.00","$10,170 /yr",26-Mar-2021,50 km,SUV
6527,SEAT Leon 1.0A TSI Style Plus,"$73,800.00","$8,140 /yr",22-Jan-2019,"15,000 km",Hatchback
6534,Honda Vezel 1.5A X,"$54,800.00","$9,830 /yr",03-May-2016,"56,211 km",SUV
6535,Lexus NX300 Executive,"$166,800.00","$16,460 /yr",29-Nov-2019,"8,600 km",SUV
6537,Volvo XC60 T5 R-Design,"$94,800.00","$14,900 /yr",11-Feb-2016,"89,000 km",SUV
6539,BMW 5 Series 523i (New 10-yr COE),"$81,800.00","$8,180 /yr",31-Aug-2011,"139,000 km",Luxury
6540,Nissan X-Trail 2.0A Premium 7-Seater Sunroof,"$73,800.00","$12,250 /yr",05-May-2016,"51,900 km",SUV
6541,BMW 5 Series 520i Highline,"$55,888.00","$16,840 /yr",29-Mar-2013,"60,000 km",Luxury
6543,Toyota Harrier 2.0A Elegance Panoramic,"$73,800.00","$13,330 /yr",03-Nov-2015,"73,000 km",SUV
6545,Mercedes-Benz E-Class E200 NGT (COE till 02/2029),"$53,500.00","$6,780 /yr",13-Mar-2009,"146,529 km",Luxury
6546,Mitsubishi Space Star 1.2A,"$53,800.00","$7,270 /yr",30-Apr-2018,"32,318 km",Hatchback
6548,Mercedes-Benz 280SL (COE till 03/2029),"$138,800.00","$17,360 /yr",05-Feb-1990,"127,888 km",Sports
6549,Mercedes-Benz A-Class A180,"$61,700.00","$14,870 /yr",15-Dec-2014,"43,848 km",Hatchback
6550,Hyundai Elantra 1.6A GLS,"$58,800.00","$8,510 /yr",01-Jun-2017,"68,300 km",Sedan
6552,Toyota Dyna 150 3.0M (COE till 09/2023),"$22,800.00","$9,330 /yr",22-Sep-2008,"198,000 km",Truck
6557,Honda Civic 1.5A VTEC Turbo Sunroof,"$94,800.00","$11,660 /yr",06-Mar-2018,"40,000 km",Sedan
6558,Mazda 3 1.5A Sunroof,"$44,600.00","$10,120 /yr",10-Jun-2015,"106,241 km",Sedan
6559,Honda Vezel 1.5A X,"$58,300.00","$9,840 /yr",27-Jul-2016,"57,216 km",SUV
6561,BMW 2 Series 218i Active Tourer,"$99,800.00","$12,050 /yr",29-Mar-2018,"70,000 km",Hatchback
6562,Mercedes-Benz A-Class A180 Style,"$91,800.00","$12,520 /yr",30-Oct-2017,"58,000 km",Hatchback
6564,Mazda 5 2.0A Sunroof,"$71,800.00","$9,690 /yr",16-Oct-2017,"53,319 km",MPV
6565,Honda HR-V 1.5A DX,"$62,800.00","$9,920 /yr",14-Oct-2016,"70,000 km",SUV
6566,Mercedes-Benz A-Class A180,"$66,800.00","$13,020 /yr",04-Sep-2015,"76,000 km",Hatchback
6567,Audi A3 Sedan 1.4A TFSI Ambiente,"$59,800.00","$12,340 /yr",29-Jun-2015,"38,079 km",Luxury
6568,Volkswagen Touran 1.4A TSI Comfortline,"$99,800.00","$11,530 /yr",30-Sep-2018,"60,800 km",MPV
6569,Mazda 3 1.5A Sunroof,"$52,800.00","$9,400 /yr",26-Apr-2016,"68,000 km",Sedan
6571,Mazda 3 1.5A Sunroof,"$54,800.00","$8,630 /yr",06-Dec-2016,"63,629 km",Sedan
6572,Toyota Harrier 2.0A Elegance Panoramic,"$76,800.00","$13,270 /yr",02-Feb-2016,"48,000 km",SUV
6573,Lotus Elise (New 10-yr COE),"$106,800.00","$10,670 /yr",05-Oct-2002,"28,000 km",Sports
6575,Mercedes-Benz CLA-Class CLA200 AMG Line Premium Plus,"$185,988.00","$16,110 /yr",01-Apr-2021,21 km,Luxury
6576,BMW X6 xDrive35i Sunroof,"$208,000.00","$37,830 /yr",19-Jun-2015,"79,000 km",SUV
6577,Mercedes-Benz C-Class C180 AMG Line Sunroof,"$125,888.00","$17,480 /yr",03-Jan-2017,"83,000 km",Luxury
6578,BMW 6 Series 650i Gran Coupe M-Sport (New 10-yr COE),"$142,800.00","$14,270 /yr",20-Dec-2012,"128,000 km",Luxury
6579,Volkswagen Beetle 1.2A TSI Sunroof,"$29,800.00","$14,640 /yr",17-Aug-2012,"90,777 km",Hatchback
6580,Toyota Corolla Axio 1.5A X,"$54,800.00","$8,630 /yr",17-Mar-2017,"30,000 km",Sedan
6583,Mercedes-Benz CLA-Class CLA180,"$79,500.00","$15,470 /yr",03-Aug-2015,"98,520 km",Luxury
6584,Mercedes-Benz A-Class A180 Style,"$73,800.00","$13,010 /yr",16-Mar-2016,"49,791 km",Hatchback
